Sent1,Sent2,SimScore
एक आदमी अपने हाथ धोता है।,A woman fixes her hair.,0.05
चीन में इमारत गिरने से पांच की मौत,At least 20 killed in Syria Saturday,0.04
प्रोफेसर ने बैंकरों का परिचय दिया।,The bankers introduced the professor .,0.29
"प्रोफेसरों ने डॉक्टरों को प्रोत्साहित किया, या वैज्ञानिक ने एथलीटों से परहेज किया।",The scientist avoided the athletes .,0.5
एक लड़की गिटार बजा रही है।,A man is playing a guitar.,0.5599999999999999
प्रोफेसर ने राष्ट्रपतियों की प्रशंसा की।,The professor admired the presidents who the tourists advised .,0.77
"अभिनेताओं द्वारा डॉक्टर को धन्यवाद देने के बाद, प्रबंधक ने सीनेटर को पहचान लिया।",The manager recognized the senator .,0.78
"""मैं तुमसे क्या कह सकता हूँ?"" उन्होंने एक कब्रिस्तान में एक भीड़ को एक हजार हेडस्टोन के साथ बताया, उनमें से कई पूरे परिवारों की कब्रों को चिह्नित कर रहे थे।","Mr. Powell told a crowd at a cemetery with a thousand headstones, many of them marking the graves of entire families.",0.5599999999999999
पुतिन का रूस के राष्ट्रपति चुनाव में जीत का दावा,Putin wins disputed Russian presidential election,0.8800000000000001
"यूरोप संधि में पारंपरिक बल यूरोप में सैन्य विमानों, टैंकों और अन्य गैर-परमाणु भारी हथियारों की संख्या को सीमित करते हैं।",the conventional forces in europe treaty was signed by russian and nato members in 1990.,0.5599999999999999
"हालांकि वैज्ञानिक पहुंचे, डॉक्टर ने राष्ट्रपतियों को बुलाया।",The doctor called the presidents .,0.78
आईएसएएफ: अफगान पुलिस से जुड़े हमले में गठबंधन के 4 सैनिकों की मौत,"NATO says four troops killed in ""insider"" attack in Afghan south",0.6
जज ने सोचा कि बैंक वालों ने डॉक्टरों को देखा है।,The bankers saw the doctors .,0.43
"बैंकर सो गए, या न्यायाधीशों ने पर्यटकों से संपर्क किया।",The bankers slept .,0.5
राष्ट्रपतियों ने पर्यटकों के सामने बैंकरों का उल्लेख किया।,The presidents mentioned the bankers .,0.79
चार लोग किनारे के पास एक नाव चला रहे हैं।,four people are on a boat on green water.,0.5599999999999999
"""इसमें एक मानसिक बीमारी थी, अब वे आपको क्या सिखा रहे हैं?""","He stated that it was a mental illness in , how is that bigotry?",0.32
वकीलों ने छात्र को छुपाया।,When the lawyers hid the student contacted the doctors .,0.23
डॉक्टर चिल्लाया।,"The students supported the president , and the doctor shouted .",0.62
प्रबंधकों ने लेखक को रोक दिया।,The managers were stopped by the author .,0.3
पूर्वानुमानकर्ताओं ने कहा कि गुरुवार को बाद में क्यूबा के लिए चेतावनी बढ़ सकती है।,Watches or warnings could be issued for eastern Cuba later on Thursday.,0.8
हम तलाशने के लिए हैं।,We are meant to move.,0.48
"उपनगरीय अटलांटा अग्निशामकों को बंधक बनाने वाला गनमैन अब मर चुका है, पुलिस का कहना है",The Lede: Video: Gunman Takes Firefighters Hostage in Georgia,0.2799999999999999
"अगर यह जीवन नहीं होता, तो यह पैदा नहीं हो पाता।","If it wasn't alive, then it would miscarriage on it's own.",0.6
अभिनेता ने एथलीट और पर्यटक का उल्लेख किया।,The tourist mentioned the athlete .,0.29
इसके अलावा बाजार पर वजन की खबर थी कि जनरल मोटर्स GM.N ने अपनी पेंशन योजना में एक छेद को भरने के लिए $10 बिलियन का कर्ज जारी करने की योजना बनाई थी।,"Also hurting was news General Motors GM.N was to issue $10 billion in debt, in part to plug a hole in its pension plan.",0.95
विंडीज में ऑस्ट्रेलिया इंग्लैंड को पछाड़ सकता है,Australian PM defiant under pressure over leadership,0.08
यूके की पहली साइंटोलॉजी शादी में युगल विवाह,Couple get married in Britain's first Scientology wedding,1.0
संयुक्त राष्ट्र सुरक्षा परिषद ने अफगानिस्तान में हक्कानी नेटवर्क के खिलाफ वैश्विक प्रतिबंधों का आदेश दिया,UN orders global sanctions against Haqqani network,0.8800000000000001
एक आदमी पैन को ओवन में रख रहा है।,A woman is cutting an onion.,0.12
घास वाली पहाड़ी पर दो मेमने खड़े हैं।,Two dirt bikers riding over dirt hill.,0.04
पाकिस्तान में रेड क्रॉस कार्यकर्ता की हत्या,British Red Cross doctor kidnapped in Pakistan found beheaded,0.72
डॉक्टर भूल गए कि पर्यटक नाचते हैं।,The tourists danced .,0.55
जिन छात्रों ने प्रबंधकों का उल्लेख किया उन्होंने वैज्ञानिक की सिफारिश की।,The students recommended the scientist .,0.79
अभिनेताओं के पीछे के सचिवों ने न्यायाधीश की प्रशंसा की।,The secretaries admired the judge .,0.79
अभिनेताओं द्वारा प्रस्तुत किए जाने के बाद बैंकर ने एथलीटों का परिचय कराया।,The actors presented the banker .,0.23
एथलीटों ने प्रोफेसर की प्रशंसा की।,The athletes admired the professor near the senators .,0.79
"प्रोफेसर पहुंचे, और डॉक्टर ने राष्ट्रपति को बुलाया।",The doctor called the president .,0.62
डॉक्टर ने लेखक को सुना।,The doctor heard the author thanked the president .,0.37
सल्वाडोर डाली की पेंटिंग न्यूयॉर्क गैलरी से छीनी गई,Salvador Dali painting snatched in NYC,0.92
डॉक्टरों ने सीनेटरों से संपर्क किया।,The senators next to the doctors contacted the judge .,0.29
वकील को पता चला कि लेखकों ने वैज्ञानिकों को बुलाया था।,The authors called the scientists .,0.55
मैनेजर के चिल्लाने पर अभिनेता पहुंचे।,The actors arrived .,0.42
एथलीट के पास के प्रबंधकों ने इस्तीफा दे दिया।,The athlete resigned .,0.26
दुनिया में रॉन पॉल कहाँ है?,Where in the world is the MEDIA??,0.16
"जापानी मुद्रा के मुकाबले, यूरो 135.92/6.04 येन पर था, जबकि न्यूयॉर्क के अंत में 136.03/14 का स्तर था।","The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.",0.55
पर्यटकों ने प्रबंधकों की सिफारिश की।,The managers recommended the tourists .,0.29
यह ब्रेनडेड होने की जरूरत नहीं है।,I don't have a proposed model.,0.0
पर्यटकों ने कलाकारों से संपर्क किया।,"The tourist contacted the artists , and the athlete encouraged the student .",0.62
सीरिया के दूत राष्ट्रीय एकता सरकार के लिए कहते हैं,Syria envoy calls for political change to end conflict,0.44
सचिवों ने डॉक्टर को रोका।,The secretaries in front of the professors stopped the doctor .,0.79
अभिनेता सो गए।,Obviously the actors slept .,0.88
कार्यालय में प्रस्तुति देते खिलाड़ी।,The scientists stopped the athletes presented in the office .,0.59
डॉक्टर ने राष्ट्रपतियों को बुलाया।,The doctor behind the professors called the presidents .,0.79
नकारात्मक टोही आवश्यकताएँ।,PACIFIC REQUIREMENTS .,0.2
एच और मैं दोनों ने किताबें पढ़ीं और सोचा कि फिल्म इतनी जल्दी चल रही है।,"I haven't read the books, but I saw the movie today.",0.6
"क्या यह खाद्य आपूर्ति में है?"" हार्वर्ड सेंटर फॉर रिस्क एनालिसिस में जोखिम संचार के निदेशक डेविड रोपिक कहते हैं।","""It's not zero,"" said David Ropeik, director of risk communication at the Harvard Center for Risk Analysis.",0.35
"पर्यटक पहुंचे, या बैंकरों ने वकीलों को प्रोत्साहित किया।",The bankers encouraged the lawyers .,0.5
डॉक्टरों को पता था कि सीनेटर ने प्रोफेसरों को सलाह दी थी।,The senator advised the professors .,0.55
नाइजर में आत्मघाती हमलों में इस्लामवादियों ने 21 की हत्या की,Car bombs kill 20 in Turkish town near Syrian border,0.2
एक बिल्ली का बच्चा नीली रस्सी के खिलौने से खेल रहा है।,A kitten is playing with a toy.,0.8800000000000001
काले और सफेद बैल कैमरे को देख रहे हैं।,A black and white dog looking at the camera.,0.4
रैपर के वकील मार्क गैन ने टिप्पणी के लिए कॉल का जवाब नहीं दिया।,"The 27-year-old rapper's attorney in the civil matter, Mark Gann, did not return calls for comment.",0.9
पर्यटक ने राष्ट्रपति और न्यायाधीशों को धन्यवाद दिया।,The judges thanked the president .,0.29
"होवन ने बात नहीं की, लेकिन उनके वकील, जॉन स्पेरन्ज़ा ने कहा कि उनके मुवक्किल ""उस दिन नहीं उठे"" किसी को चोट पहुंचाने का इरादा रखते थे।","Hovan ""did not wake up that day"" intending to hurt anyone, defense attorney John Speranza said.",0.9
एक स्नोबोर्डर सीढ़ियों की एक उड़ान के बगल में एक रेलिंग के नीचे एक स्नोबोर्ड की सवारी करता है।,A boy is grinding a skateboard down a concrete wall.,0.16
"इसी तरह, 30 साल का बॉन्ड <US30YT=RR> 1-11/32 की गिरावट के साथ 4.38 प्रतिशत की उपज के लिए 4.30 प्रतिशत से ऊपर है।","The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",0.36
"यदि लेखक ने छात्रों से संपर्क किया, तो बैंकर ने पर्यटकों को बुलाया।",The author contacted the students .,0.45
पर्यटकों ने प्रोफेसर की प्रशंसा की।,Of course the tourists admired the professor .,0.88
अपार्टमेंट बिल्डिंग में नेवी जेट क्रैश,US Navy Jet Crashes into Apartment Block,0.8400000000000001
"क्योंकि सीनेटर ने राष्ट्रपतियों की प्रशंसा की, प्रोफेसरों ने एथलीट को सलाह दी।",The professors advised the athlete .,0.78
भूरे घोड़े के सिर का पास से चित्र।,A close-up of a yellow school bus.,0.0
बुधवार को चीन के शेयर बढ़त के साथ खुले,US stocks open higher despite GDP miss,0.16
सचिव ने अभिनेता पर विश्वास किया।,The secretary believed the actor avoided the athlete .,0.37
"चौकड़ी ने इजरायलियों, फिलिस्तीनियों से चिड़चिड़ेपन को समाप्त करने का आह्वान किया",Occupation to confiscate 30 dunums of Palestinian land in Deir Estia,0.2799999999999999
वैज्ञानिक ने नृत्य किया।,The actors and the scientist danced .,0.73
अध्यक्ष ने वकीलों का हौसला बढ़ाया।,"Unless the tourists advised the senator , the president encouraged the lawyers .",0.42
एथलीटों ने सचिव को सुना।,The athletes heard the secretary supported the scientist .,0.37
बैंकर ने पुरस्कार जीता।,The banker won .,0.66
एक बच्चा एक पिकनिक टेबल से दूसरे पिकनिक टेबल पर चल रहा है।,The boy hops from one picnic table to the other in the park.,0.64
फ़ुटबॉल खिलाड़ी ने गेंद को अपने पैरों के बीच में लात मारी।,A person is kicking a soccer ball back and forth between his feet.,0.6799999999999999
एस कोरिया का केसोंग पर 'अंतिम' एन कोरिया वार्ता का प्रस्ताव,North Korea proposes high-level talks with US,0.2
कलाकारों ने भुगतान किया।,The artists paid the actor .,0.66
जाहिर है डॉक्टर ने कलाकारों का साथ दिया।,The doctor supported the artists .,0.88
प्रबंधकों ने एथलीट और प्रोफेसरों को प्रोत्साहित किया।,The managers encouraged the professors .,0.68
तूफान क्लॉडघ के रूप में गंभीर गैले ब्रिटेन हिट करता है,Merkel pledges NATO solidarity with Latvia,0.0
सचिवों ने कलाकारों पर विश्वास किया।,The secretaries were believed by the artists .,0.3
तीन औरतें नाच रही हैं।,The man is dancing.,0.32
कंसास के स्वास्थ्य अधिकारियों ने बताया कि महिला को 15 जून को अस्पताल में भर्ती कराया गया था।,Missouri health officials said he had not been hospitalized and is recovering.,0.2
दो लड़के एक सोफे पर बियर लिए बैठे हैं और एक लड़की उनकी गोद में लेटी हुई है।,Two women watching the street with their bikes to see when they may cross.,0.0
उत्तरी सीरिया में कार बम विस्फोट में कम से कम 12 की मौत,Syrian airstrikes kill at least 18 in Aleppo,0.4
न्यूजीलैंड समलैंगिक विवाह के लिए मिश्रित प्रतिक्रियाएँ,New Zealand legalizes same-sex marriage,0.44
पीले फूलों के सामने खड़ा एक काला कुत्ता।,A black dog standing in a field.,0.6
सचिव ने डॉक्टर का हौसला बढ़ाया।,Supposedly the secretary encouraged the doctor .,0.53
एक लड़का गेट पर बाइक चला रहा है।,A woman is riding a horse.,0.16
अफगानिस्तान में नाटो के दो सैनिकों की मौत,NATO Soldier Killed in Afghan Blast,0.72
प्रोफेसर ने लेखक का अध्ययन किया।,Although the professor studied the author waited .,0.23
"ऊपर की ओर, कोका-कोला कंपनी (एनवाईएसई: केओ - समाचार - लोग) ने गुरुवार की शुरुआत में तिमाही के लिए उच्च लाभ की सूचना दी, यूरोपीय मांग से मदद मिली।","Coca-Cola Co. (KO) reported higher profit for the quarter, helped by European demand, early on Thursday.",0.92
सचिवों ने पर्यटकों के साथ लेखकों का परिचय कराया।,The secretaries introduced the authors .,0.79
डॉक्टर ने लेखक को धन्यवाद दिया और पर्यटकों ने एथलीट को सलाह दी।,The tourists advised the athlete .,0.62
पृष्ठभूमि में बड़ी इमारत के साथ सुंदर दिन पर खड़े पैर।,Two police officers standing behind a van with a bus in the background.,0.08
सचिवों ने उस प्रबंधक की सिफारिश की जो अभिनेताओं से बचता था।,The secretaries recommended the manager .,0.77
क्या आप एक चला रहे हैं?,Are you driving a fucking Volt?,0.52
व्यापक स्टैंडर्ड एंड पूअर्स 500 इंडेक्स .SPX 2 अंक या 0.24 प्रतिशत बढ़कर 977 हो गया।,"The Nasdaq Composite Index .IXIC was off 6.52 points, or 0.39 percent, at 1,645.66.",0.16
डॉक्टर चिल्लाया।,Obviously the doctor shouted .,0.88
मिस्र नरसंहार के बाद 'गुस्से का शुक्रवार' के लिए तैयार,Egypt braces for Friday of anger after bloody crackdown,0.8
जनता जाग चुकी थी।,Because the people had awakened.,0.8400000000000001
एथलीटों ने इंतजार किया।,"Unless the tourists called the lawyers , the athletes waited .",0.42
"अगर कलाकार ने प्रबंधकों की सिफारिश की, तो बैंकर चिल्लाया।",The banker shouted .,0.42
इंडिया इंक: इमेज ऑफ द डे: 2 जुलाई,India Ink: Image of the Day: March 4,0.6
वैज्ञानिकों ने अभिनेताओं से परहेज किया।,The actors were avoided by the scientists .,1.0
वैज्ञानिक ने प्रोफेसरों से संपर्क किया।,"The scientist contacted the professors , and the athlete advised the manager .",0.62
ब्राजील के नेता सड़क पर विरोध प्रदर्शन पर संकट वार्ता आयोजित करता है,Brazil leader promises reform vote,0.32
एक छोटा बंदर पानी से चलता है।,A monkey is wading across a marsh.,0.6799999999999999
"सीएनएन में नवीनतम शीर्ष-स्तरीय फेरबदल में, तेया रयान यूएस प्रोग्रामिंग के महाप्रबंधक के रूप में अपना पद छोड़ रही है, नेटवर्क ने घोषणा की।","In CNN's latest move to rejuvenate ratings, the network has ousted Teya Ryan, general manager of U.S. programming.",0.7538
peeve तो हम सहमत हैं कि यह अनिवार्य रूप से फ्रीफॉल में नीचे आया था?,Do we agree that they came down essentially in freefall?,0.8
एक काली ट्रेन पटरियों के नीचे चलती है।,A train traveling down the tracks.,0.8
नोकिया ने 'फर्जी' विज्ञापन के लिए मांगी माफी,US waives riders for Pak aid,0.0
एक कार्टून महिला एक पूल में गोता लगाती है।,A cartoon woman is diving off a board.,0.5599999999999999
कैथी निकोलो (जेनिफर कोनेली) के लिए घर का मतलब स्थिरता और परिवार है।,Kathy Nicolo (Jennifer Connelly) is desperate that her family not find out that her life has fallen apart.,0.4
"डेशले ने लिखा, ""हम मानते हैं कि सुप्रीम कोर्ट की नियुक्ति पर विभाजनकारी पुष्टि लड़ाई होना जरूरी नहीं है।""","""We believe that it is not necessary to have a divisive confirmation fight,"" Daschle of South Dakota wrote the Republican president.",0.8
अभिनेता के बगल के कलाकारों ने प्रबंधकों को धन्यवाद दिया।,The managers thanked the actor .,0.29
सचिवों पर विश्वास करने वाले प्रबंधक ने छात्र से संपर्क किया।,The secretaries contacted the student .,0.31
एथलीट ने डॉक्टरों की सिफारिश की।,Hopefully the athlete recommended the doctors .,0.53
सीनेटर ने बैंकर को देखा।,The senator saw the banker near the artists .,0.79
वैज्ञानिक को पहचानने वाले पर्यटकों ने प्रोफेसर को बुलाया।,The tourists recognized the scientist .,0.65
राष्ट्रपतियों ने न्यायाधीश का परिचय दिया।,The presidents that introduced the judge recognized the professor .,0.65
"सीनेटर द्वारा प्रबंधक की प्रशंसा करने के बाद, छात्र ने डॉक्टर को सलाह दी।",The senator admired the manager .,0.61
एथलीटों के सामने सचिव ने बैंकर की सिफारिश की।,The secretary recommended the banker .,0.79
एक काला कुत्ता घास पर मुंह में छड़ी लिए टहल रहा है।,The black dog is running on the grass with a toy in it's mouth.,0.64
जबकि अभिनेताओं का अध्ययन लेखकों ने वकीलों पर विश्वास किया।,The actors studied the authors .,0.23
एक आदमी बाहर रस्सी कूद रहा है।,A woman is slicing a cucumber.,0.0
"प्रबंधक भाग गया, या कलाकारों ने इस्तीफा दे दिया।",The artists resigned .,0.5
सोनी पीसी यूनिट बेचेगी और नौकरियों में कटौती करेगी,Sony to axe PC unit in major business overhaul,0.6
एक लड़की ट्रैम्पोलिन पर अपने सिर के बल उल्टा उछलती है।,A girl is bouncing on her head on a trampoline.,0.96
पर्यटकों और प्रोफेसरों ने एथलीटों को सलाह दी।,The professors advised the athletes .,0.73
इस्राइली विमानों ने सीरिया के अंदर हमला किया,Israel launches airstrike into Syria,0.92
मिस्र: आईपीआई ने बर्लिन में गिरफ्तार अल जज़ीरा पत्रकार की रिहाई का आग्रह किया,Egypt sentences Al Jazeera journalists to jail,0.2
प्रबंधकों ने आने वाले वैज्ञानिकों से परहेज किया।,The managers avoided the scientists .,0.77
नाइजीरियाई दंगों में दर्जनों मारे गए,Dozens killed in Kenyan clashes,0.2
"होन्शु, जापान में 6.3 तीव्रता का भूकंप: CENC",6.7-magnitude earthquake jolts Taiwan: CENC,0.4
% पुरुषों और % महिलाओं के साथ एक जगह की कल्पना करें।,Imagine a place that's % white and % black.,0.32
सचिव ने वकीलों की मदद की।,"While the secretary helped the lawyers , the doctor danced .",0.61
सीनेटरों ने वैज्ञानिकों पर विश्वास किया।,The senators believed the scientists recognized the author .,0.37
एक आदमी एक खेल क्षेत्र में प्रवेश करने के लिए बाधा को पार करने की कोशिश कर रहे कुत्ते का पीछा करता है।,A man follows his black and white dog as it takes on an obstacle course.,0.44
पर्यटक ने खाया।,The tourist ate the salad .,0.66
बैंकर ने डॉक्टरों की प्रशंसा की।,The banker next to the judges admired the doctors .,0.79
राष्ट्रपति के सामने कलाकार ने वैज्ञानिकों का परिचय कराया।,The president introduced the artist .,0.29
राष्ट्रपतियों ने न्यायाधीशों को धन्यवाद दिया।,The presidents behind the student thanked the judges .,0.79
छात्रों ने वकील पर विश्वास किया।,Angry students believed the lawyer .,0.78
कलाकार द्वारा छात्रों चिल्लाया।,The artist shouted .,0.26
सीरिया के पत्रकारों का बचाव अभियान विफल,Journalists smuggled out of Homs,0.12
सचिवों ने न्यायाधीशों की सिफारिश की।,The secretaries and the judges recommended the lawyers .,0.29
एक चिड़िया पानी में अपने पंख फड़फड़ा रही है।,A large black bird is sitting in the water.,0.64
एक आदमी ट्रेन के सामने खड़ा है।,"A man is standing in front of a raised statue,.",0.4
इज़राइल ने 1500 बसने वाले घरों को हरी बत्ती दी,"Israel unveils 1,800 more settler homes",0.64
सीनेटरों ने सचिव को धन्यवाद दिया।,Supposedly the senators thanked the secretary .,0.53
लेखकों ने पर्यटक को पहचान लिया।,The authors were recognized by the tourist .,0.3
अफसोस की बात है कि फोर्ड ने करदाताओं के पैसे स्वीकार कर लिए।,Ford didn't accept taxpayer money to save the company.,0.5599999999999999
काहिरा प्रदर्शनकारियों ने कार्रवाई की धमकी को नकारा,"In Cairo Camps, Protesters Dig in and Live On",0.72
खुश एथलीटों ने नृत्य किया।,Athletes danced .,0.78
"इस्लामी चरमपंथियों ने 9 विदेशी पर्यटकों, 1 पाकिस्तानी को मार डाला",Gunmen Kill 11 Foreign Tourists in Pakistan,0.5599999999999999
हजारों लोगों ने समलैंगिक विवाह का विरोध किया,Thousands protest gay marriage in Paris,0.72
बर्फ में एक कुत्ता.,Two dogs in snow.,0.6
लेखकों को उम्मीद थी कि न्यायाधीशों ने नृत्य किया।,The judges danced .,0.43
वकीलों द्वारा अभिनेताओं की सिफारिश की गई थी।,The lawyers recommended the actors .,1.0
पर्यटक ने न्यायाधीशों को रोक दिया जो एथलीटों से बचते थे।,The tourist stopped the judges .,0.77
अभिनेता ने वैज्ञानिक की सिफारिश की।,"Whether or not the actor recommended the scientist , the secretary slept .",0.45
"वे कुछ भी पैदा नहीं करते हैं जिसे मैं खा सकता हूं, पहन सकता हूं, रह सकता हूं।","Think about all the things you can't ""eat, wear, or live in"".",0.44
लेखकों को पता था कि पर्यटक आ गया है।,The authors knew the tourist .,0.37
अध्यक्षों ने प्रदर्शन किया।,"Unless the presidents performed , the actor advised the scientist .",0.45
प्रबंधक ने बैंकरों की सिफारिश की।,"Though the manager recommended the bankers , the artists shouted .",0.61
लेखकों ने प्रोफेसरों को बुलाया।,The students by the authors called the professors .,0.26
न्यायाधीश ने लेखकों का समर्थन किया।,The judge supported the doctors and the authors .,0.68
ब्राजील के रणनीतिक मामलों के मंत्री रॉबर्टो मंगाबीरा अनगर ने कहा कि ब्राजील की नई राष्ट्रीय रक्षा योजना में अत्याधुनिक हथियार उद्योग बनाने के लिए रूस और फ्रांस सहित देशों के साथ साझेदारी स्थापित करने का आह्वान किया गया है।,unger stated brazil's new national defense plan calls for establishing partnerships with countries including russia and france to build a state-of-the-art weapons industry.,0.76
आदमी नाव चला रहा है।,a man doing a trick on skateboard,0.0
वैज्ञानिकों और बैंकर ने पर्यटक की प्रशंसा की।,The scientists admired the banker .,0.29
दवा को लेकर काफी चिंता है।,there is much work to be done.,0.08
घास में एक छोटा काला कुत्ता है।,A black dog is running in the grass.,0.72
एक व्यक्ति प्याज छील रहा है।,A person is peeling an eggplant.,0.4
समुद्र के पास टेढ़ी-मेढ़ी चट्टानों के ऊपर खड़ा आदमी।,A man is standing on top of rocks overlooking the ocean.,0.92
"जी हां, आज से AMD या Fujitsu से खरीदी गई फ्लैश मेमोरी को Spansion ब्रांडेड किया जाएगा।",Spansion Flash memory solutions are available worldwide from AMD and Fujitsu.,0.525
न्यायाधीशों ने भुगतान किया।,The judges paid the student .,0.66
हैप्पी जजों ने एथलीट का परिचय कराया।,Judges introduced the athlete .,0.78
डॉक्टरों को याद आया कि प्रेसिडेंट मैनेजर की तारीफ करते थे।,The president admired the manager .,0.55
ईरान के राष्ट्रपति ने सीरिया में रासायनिक हथियारों के इस्तेमाल की निंदा की,Probe alleged use of chemical weapons in Syria,0.32
वैज्ञानिकों ने उन वकीलों का परिचय कराया जिन्होंने प्रोफेसरों को देखा था।,The scientists introduced the lawyers .,0.77
एक पीला कुत्ता फूलों के पास घास वाले इलाके में खेल रहा है।,A girl is playing on a swing.,0.08
