,Sent1,Sent2,SimScore
52,"OS ANGELES - ''The Hulk'' was a monster at the box office in its debut weekend, taking in a June opening record of $62.6 million.","""The Hulk"" took in $62.6 million at the box office, a monster opening and a new June record.",0.96
53,He said the FDA was hoping Congress and the courts would bring clarity to the situation and some financial relief to consumers.,He said FDA hopes Congress and the courts will bring clarity to the situation and some financial relief to consumers — perhaps before the 2004 elections.,0.8
54,The managers thanked the professors .,The managers near the lawyer thanked the professors .,0.79
55,Algerian president in France for medical tests,Algerian president in France for medical tests after minor stroke,0.72
56,"Punjab Mail derails near Rohtak, 19 injured","Punjab Mail derails near Rohtak in Haryana, 19 injured",0.8400000000000001
57,The actors were stopped by the tourist .,The actors stopped the tourist .,0.3
58,"Navy jet crashes into Virginia buildings, injuring six","Navy jet crashes into Virginia apartments,9 hurt",0.64
59,Protest against US drone strikes in Pak postponed,6 killed in U.S. drone strike in NW Pakistan,0.27999999999999997
60,The secretary helped the student .,The secretary helped the student next to the professor .,0.79
61,A close-up of a cat on a cream sofa.,A siamese cat resting on a white sofa.,0.6799999999999999
62,Three boys are running on the beach playing a game.,Two young boys and one young man run on a beach with water behind them.,0.64
63,The senator recommended the authors .,"If the presidents mentioned the actor , the senator recommended the authors .",0.42
64,Dozens dead in Taliban resort attack,'India police name 3 Iranians in embassy attack',0.08
65,The manager recognized the artists .,"While the athlete waited , the manager recognized the artists .",0.78
66,The secretaries and the bankers thanked the student .,The bankers thanked the student .,0.73
67,A train sitting on the tracks near a field.,A baby is sitting in the grass.,0.0
68,The athletes by the lawyers arrived .,The lawyers arrived .,0.26
69,The athletes encouraged the artist .,"If the president admired the tourists , the athletes encouraged the artist .",0.42
70,The author saw the lawyer .,The author saw the lawyer next to the senator .,0.79
71,A woman is brushing her feet.,The sun is rising behind trees.,0.0
72,The students shouted .,The professors who introduced the students shouted .,0.31
73,Powerful 7.6 quake strikes off Solomons,Powerful 6.9 quake strikes off California coast,0.44000000000000006
74,"Although the artists arrived , the judges shouted .",The artists arrived .,0.61
75,Lewis Hamilton Takes Pole for Russian GP,Lewis Hamilton wins inaugural Russian GP,0.8
76,The senators contacted the authors .,The doctors near the senators contacted the authors .,0.26
77,Abdullah Widens Lead in Afghan Presidential Poll,Explosions heard near Afghan presidential palace,0.2
78,Definitely the actors admired the professors .,The actors admired the professors .,0.88
79,The secretaries admired the artists .,The secretaries and the artists admired the professors .,0.29
80,"In an interview, Healey, who is a criminologist, acknowledged that much of the sentiment among legislators here and across the country was wariness toward capital punishment.","In an interview, Ms. Healey, who is a criminologist, said many lawmakers here and across the country shared a wariness toward capital punishment.",0.9199999999999999
81,The secretaries advised the banker .,The secretaries advised the banker by the athlete .,0.79
82,The actors waited .,"The actors waited , and the judge avoided the senator .",0.62
83,British police arrested 21 people early Tuesday in connection with the suspected ritual murder of an African boy whose torso was found in the Thames River.,Police have arrested 21 people in connection with the murder of a young Nigerian child whose headless and limbless torso was found floating in the river Thames.,0.7
84,A young girl wearing a bike helmet with a bicycle in the background.,A women holds a small dog on a leash with chairs in the background.,0.0
85,The tourist mentioned the actors .,The tourist was mentioned by the actors .,0.3
86,The president next to the author called the managers .,The author called the managers .,0.26
87,"If the professors resigned , the bankers performed .",The bankers performed .,0.42
88,The students helped the scientists who slept .,The students helped the scientists .,0.77
89,A person is doing pencil tricks with his hand.,A person is slicing carrots in half.,0.0666
90,The scientists avoided the professor .,"Unless the artists introduced the managers , the scientists avoided the professor .",0.42
91,Texas Instruments climbed $1.37 to $19.25 yesterday and Novellus Systems Inc. advanced $1.76 to $36.31.,"Texas Instruments climbed $US1.37 to $US19.25 and Novellus Systems advanced $US1.76 to $US36.31, each having been raised to ""overweight"" by Lehman.",0.75
92,"Although the athletes encouraged the managers , the tourist slept .",The tourist slept .,0.78
93,A woman riding a bicycle on a large concrete area.,A women riding a mountain bike on a large concrete area.,0.76
94,Artists stopped the president .,Important artists stopped the president .,0.78
95,"After the judge thanked the professors , the senators resigned .",The judge thanked the professors .,0.61
96,The banker ran .,The doctor that recognized the banker ran .,0.31
97,A man making a bed in a hotel.,A man is holding a animal.,0.16
98,The tourist called the manager .,The tourist and the manager called the judge .,0.29
99,Silvio Berlusconi expelled from Italy's parliament,Silvio Berlusconi expelled from parliament,0.8
100,The president mentioned the senators in front of the scientist .,The president mentioned the senators .,0.79
101,Earthquake of 6.3 magnitude strikes off Indonesia island,Earthquake of 6 magnitude strikes Thailand,0.4
102,The scientist won the contest .,The scientist won .,0.66
103,I think you are missing the point with entrepreneurs.,Again I think you are missing the point on the Twain quote.,0.16
104,The students called the doctor .,The secretaries that believed the students called the doctor .,0.31
105,The scientist stopped the professor .,"Whether or not the scientist stopped the professor , the artist contacted the tourists .",0.45
106,East German rights activist Gauck elected president,Joachim Gauck elected as German president,0.8
107,Australia cuts rates to record low,Australia cuts interest rate to record low 2.75%,0.76
108,The man is playing the piano.,The man is playing the guitar.,0.32
109,The secretaries contacted the author who the athletes believed .,The secretaries contacted the author .,0.77
110,The scientist thanked the student .,"If the actors called the author , the scientist thanked the student .",0.42
111,The secretary resigned .,"If the scientists recognized the professors , the secretary resigned .",0.42
112,A small dog looking up at the camera while standing on grass.,A man and women smiling at the camera while standing in a kitchen.,0.16
113,The lawyer recognized the judge .,"In case the author slept , the lawyer recognized the judge .",0.78
114,The doctors danced .,The tourist claimed that the doctors danced .,0.43
115,The bankers thanked the actor .,The professor by the bankers thanked the actor .,0.26
116,A girl is communicating with sign language.,A young girl is using sign language.,0.7882
117,The doctors knew the student .,The doctors knew the student resigned .,0.37
118,Two terriers play on the wood floor of their home.,Two puppies play with a red chew toy in a field.,0.32
119,Two kids are playing in a swimming pool with a green colored crocodile float.,Two kids push an inflatable crocodile around in a pool.,0.8400000000000001
120,dutch national research institute tno carried out chemical weapons experiments for the dutch defense ministry during the 1950s. ,a hp/detijd journalist learned about tno's chemical weapons experiments from the defense ministry's archives.,0.52
121,The judge stopped the senator .,The judge behind the lawyer stopped the senator .,0.79
122,Someone drills a hole in a strip of wood with a power drill.,A man drills a hole in a piece of wood.,0.64
123,A small brown birds is eating from a bird feeder hanging from a tree.,A small red and grey bird perched in a tree.,0.4
124,The lawyers admired the scientist .,"The lawyers admired the scientist , or the secretaries encouraged the artist .",0.5
125,NATO sticks to transition roadmap in Afghanistan: Rasmussen,NATO helicopter makes hard landing in E. Afghanistan,0.2
126,One dead in Ohio school shooting,"1 dead, 4 wounded in Ohio school shooting",0.64
127,Somalia's Shebab claims responsibility for Nairobi mall attack,Syrian rebels claim responsibility for killings in Lebanon,0.24
128,The doctor admired the judge .,The student recognized the judge that the doctor admired .,0.65
129,"Since the tourists believed the banker , the actors performed .",The actors performed .,0.78
130,The presidents thought that the tourists slept .,The tourists slept .,0.43
131,The president advised the student who performed .,The president advised the student .,0.77
132,A girl is dragged downhill by a dog.,A dog is pulling a child down a hill.,0.76
133,The author was mentioned by the secretaries .,The author mentioned the secretaries .,0.3
134,An airplane facing the camera.,A lone cow sits in the cold of the yard.,0.0
135,The tourist who performed believed the presidents .,The tourist believed the presidents .,0.79
136,And I'm your friend Mitt.,Your good friend Mitt.,0.8
137,New Syria opposition chief wants no-strings aid,Syria opposition unites as Israel fires warning shots,0.2
138,Shinseki retires Wednesday after a 38-year career that included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia.,Shinseki's career included combat in Vietnam and head of U.S. peacekeeping efforts in Bosnia.,0.6
139,A young girl riding a white and grey horse.,a little girl is riding a white and grey horse.,0.9199999999999999
140,The judge arrived .,The doctors next to the judge arrived .,0.26
141,A person climbs up a snowy hill while their dog follows.,A person climbs a snowy hill while a black dog follows.,0.76
142,"Although the managers mentioned the artist , the presidents helped the doctor .",The presidents helped the doctor .,0.78
143,An infant sitting on a cot reaching over to touch the face of an older boy.,A boy who seems ill is being touched in the face by a toddler.,0.44000000000000006
144,The scientists saw the president that admired the actor .,The president admired the actor .,0.65
145,"While the actors shouted , the tourist contacted the athletes .",The actors shouted .,0.61
146,The lawyers recommended the tourist .,The judges contacted the tourist who the lawyers recommended .,0.65
147,The student by the judge avoided the professors .,The professors avoided the student .,0.29
148,Newark mayor saves neighbor from fire,Newark mayor rescues neighbor from burning house,0.8400000000000001
149,a brown double decker tour bus on a street with a ferris wheel behind it.,A double-decker bus driving in front of a ferris wheel.,0.8800000000000001
150,"White House, defense contractors discuss harm of automatic spending cuts","White House, defense firms discuss automatic spending cuts",0.8800000000000001
151,"Though the students helped the actor , the professor danced .",The students helped the actor .,0.61
152,Proverbs  John the Baptist was a Nazarite from birth.,John the Baptist was a Nazarite from birth.,0.9199999999999999
153,Could be a lot of things.,Could be a simple mistake.,0.44000000000000006
154,S Korea MPs to visit Kaesong complex,S. Korea demands talks with N. Korea on closed factory,0.27999999999999997
155,The athletes mentioned the actors .,The actors that the athletes mentioned stopped the secretaries .,0.65
156,The managers thanked the presidents .,"The managers thanked the presidents , or the author recognized the professors .",0.5
157,Malaysia detains Australian senator at airport,Malaysia detains Australian lawmaker at airport,0.8
158,"Because the professor encouraged the managers , the judges believed the actors .",The judges believed the actors .,0.78
159,The president who recognized the lawyer recommended the tourists .,The president recommended the tourists .,0.79
160,The professor admired the actor .,The professor near the lawyers admired the actor .,0.79
161,an indian government official spoke on condition of anonymity. ,the official spoke on condition of anonymity.,0.6799999999999999
162,The tourists supported the judges .,The tourists were supported by the judges .,0.3
163,Judges waited .,Happy judges waited .,0.78
164,Nigeria admits slow response in Ebola case,US ramps up response to Ebola crisis,0.2
165,The manager helped the student .,The president helped the manager near the student .,0.29
166,The lawyers supported the author .,"Unless the manager resigned , the lawyers supported the author .",0.42
167,"Harris and Klebold killed 12 students and a teacher before taking their own lives on April 20, 1999.","Harris and Klebold killed 12 students, a teacher and themselves at the school.",0.76
168,The lawyers read the report .,The lawyers read .,0.66
169,A woman is riding a horse.,A woman is riding a donkey.,0.5599999999999999
170,White House in damage control over Obama Supreme Court remarks,Fact check: Obama's Supreme Court remarks,0.72
171,"If the doctors recommended the authors , the tourist resigned .",The doctors recommended the authors .,0.45
172,A woman pets a dog in a fenced area.,A woman pets a dog in a gated yard.,0.96
173,The actors that believed the professors supported the student .,The actors believed the professors .,0.65
174,The athletes contacted the author .,The author behind the athletes contacted the actors .,0.29
175,The senators recommended the actor .,"The doctor encouraged the tourists , and the senators recommended the actor .",0.62
176,A man is playing a piano.,A man is playing a flute.,0.4
177,The secretaries said that the scientist stopped the bankers .,The scientist stopped the bankers .,0.43
178,Important presidents called the managers .,Presidents called the managers .,0.78
179,Close up of a white sheep with a black head.,A close-up of a sheep with a black head.,0.8
180,The authors were supported by the athletes .,The athletes supported the authors .,1.0
181,"The statewide unemployment rate fell to 6.4 percent, down from a revised 6.7 percent in August.","The unemployment rate in San Joaquin County dipped last month to 8.5 percent, down nearly a full percentage point from August.",0.4
182,The secretaries believed the authors danced .,The secretaries believed the authors .,0.37
183,Committee nears final big immigration decisions,Senate Judiciary Committee nearing final big decisions in shaping immigration bill,0.6799999999999999
184,Before the secretary presented the lawyers introduced the judge .,The secretary presented the lawyers .,0.23
185,"If the doctor danced , the judges recommended the secretary .",The judges recommended the secretary .,0.42
186,Washington Pot Shops Prepare for Historic Sales,Washington pot shops prepare for historic sales,1.0
187,The artist encouraged the senator that supported the author .,The senator supported the author .,0.65
188,It's a common sense/deductive reasoning thing.,Hilited your common sense/deductive reasoning thing.,0.5
189,The athlete in front of the actor introduced the doctor .,The doctor introduced the actor .,0.29
190,A potted plant in sunlight from a window.,A potted plant with only a few sprouting.,0.5599999999999999
191,many of the attacks originated abroad. ,estonian officials stated that the attacks originated in russia.,0.36
192,The presidents saw the students who the professors mentioned .,The professors mentioned the students .,0.65
193,The senators and the managers mentioned the doctors .,The senators mentioned the managers .,0.29
194,New Zealand set to legalise gay marriage,New Zealand votes to legalise same-sex marriage,0.8800000000000001
195,"Though the students waited , the banker avoided the lawyer .",The banker avoided the lawyer .,0.78
196,Al-Qaida says it captures 70 Yemeni soldiers in Abyan's battle,"Al Qaeda clashes, blasts kill 35 soldiers in Yemen",0.27999999999999997
197,The student supported the athlete .,"Because the judge saw the secretaries , the student supported the athlete .",0.78
198,The artists helped the banker .,The banker helped the artists .,0.29
199,The judges recognized the students by the presidents .,The students recognized the judges .,0.29
200,The actors thanked the lawyer .,The lawyer that believed the presidents thanked the actors .,0.29
201,The scientist introduced the lawyer .,The lawyer and the scientist introduced the judge .,0.29
202,Two sheep on to of a cliff looking at the camera.,"Two sheep are standing, looking at the camera, face opposite directions.",0.4
203,The actor next to the artist advised the bankers .,The artist advised the bankers .,0.26
204,"Critics say the law violates civil liberties, something House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to.","House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to civil liberties complaints.",0.75
205,"The actors advised the judges , and the secretary danced .",The actors advised the judges .,0.62
206,A man does floor exercises.,A man is exercising.,0.72
207,A man on the back seat of a red tandem bicycle.,A man is alone on the back of a tandem bicycle.,0.72
208,The professor saw the doctors .,Without a doubt the professor saw the doctors .,0.88
209,The presidents admired the bankers .,"In case the presidents admired the bankers , the professors slept .",0.45
210,The judges called the artists who the scientist supported .,The scientist supported the artists .,0.65
211,The senator was recognized by the doctors .,The doctors recognized the senator .,1.0
212,The judges advised the manager .,The judges advised the manager who mentioned the tourists .,0.77
213,The athletes introduced the senators .,"Whether or not the student avoided the tourists , the athletes introduced the senators .",0.78
214,Iran's parliament backs nuclear deal,Iran hardliners attack nuclear deal,0.2
215,"The bankers supported the doctor , and the athlete waited .",The athlete waited .,0.62
216,The black and white cows pause in front of the gate.,The white airplane is flying in the sky.,0.0
217,The presidents believed the judges .,The bankers that the judges supported believed the presidents .,0.29
218,The lawyers presented the student .,Before the lawyers presented the student called the authors .,0.23
219,The scientists behind the senator recommended the artist .,The artist recommended the scientists .,0.29
220,The professors advised the artists .,The lawyer near the professors advised the artists .,0.26
221,G7 'to intensify Russia sanctions',Ukraine Fears Russian Invasion,0.12
222,A woman is peeling an orange.,A man is playing a flute.,0.0
223,A girl is flying a kite.,A girl running is flying a kite.,0.8
224,The artist stopped the secretaries who mentioned the athletes .,The artist stopped the secretaries .,0.77
225,The managers avoided the author .,Probably the managers avoided the author .,0.53
226,"After Freitas' opening statement, King County Superior Court Judge Charles Mertel recessed trial until after the Thanksgiving weekend.",King County Superior Court Judge Charles Mertel will then recess the trial until Monday.,0.6
227,The girls danced on the stage.,A girl is putting on makeup.,0.0666
228,VeriSign introduced its Site Finder service on Sept. 15.,"The battle around VeriSign""s three-week-old Site Finder service rages on.",0.35
229,Young authors arrived .,Authors arrived .,0.78
230,The artist encouraged the athlete .,The athlete and the artist encouraged the lawyers .,0.29
231,The professors avoided the actor .,The professors and the presidents avoided the actor .,0.68
232,In turn SuSE will license Java 2 Standard Edition while also formalising an existing agreement to distribute Sun's Java Virtual Machine for running Java applications.,"Nuremberg, Germany-based SuSE will license Sun's Java 2 Standard Edition (J2SE) and ship Sun's Java Virtual Machine across its Linux software line.",0.75
233,A girl is playing the piano.,A little girl is playing a grand piano on stage.,0.6666000000000001
234,A tiger cub is making a sound.,A tiger is walking around.,0.4
235,"Based on a separate survey of households, the unemployment rate fell in August to 6.1 percent from 6.2 percent.","Labor Department analysts discounted a slight improvement in the national unemployment rate, which fell in August to 6.1 percent from 6.2 percent.",0.75
236,"The lawyer advised the senators , and the actors admired the manager .",The lawyer advised the senators .,0.62
237,Two brown dogs are biting each other.,Two brown dogs biting each other on sand.,0.8400000000000001
238,Australian PM Kevin Rudd calls election for 7 September,Australian PM Rudd calls Sept. 7 poll,0.9199999999999999
239,The tourist saw the manager .,The secretary contacted the tourist who saw the manager .,0.65
240,While the professors fought the manager recognized the president .,The professors fought the manager .,0.23
241,The banker knew that the presidents supported the tourists .,The presidents supported the tourists .,0.55
242,A man is slicing a bun.,A man is breaking pots.,0.08
243,"The Note's Must-Reads for August 1, 2012","The Note's Must Reads for Wednesday July 4, 2012",0.36
244,Sequent representatives could not immediately be reached for comment on the SCO announcement.,A spokesman for SCO could not be reached for comment this afternoon.,0.76
245,The senators believed the presidents .,The senators believed the presidents near the actors .,0.79
246,The secretaries saw the scientist .,The secretaries saw the scientist who slept .,0.77
247,"Intel's McAfee Buys Cloud-Based, Networked Firewall Specialist Stonesoft For $389M In Cash",McAfee to acquire firewall Stonesoft for $389 million,0.76
248,"Police spokesman Brig. Gen. Edward Aritonang confirmed Saturday that another two had been arrested, one in Jakarta and another in Magelang, Central Java.","Brigadier General Edward Aritonang, a police spokesman, confirmed yesterday that another two had been arrested, one in Jakarta and another in Magelang, Central Java.",1.0
249,The students shouted .,Hopefully the students shouted .,0.53
250,The hedgehog chewed on the towel.,A hedgehog is biting at a blanket.,0.6799999999999999
251,The judge also refused to postpone the trial date of Sept. 29.,Obus also denied a defense motion to postpone the Sept. 29 trial date.,0.7857999999999999
252,A man is riding a bike.,A man is riding on a horse.,0.4
253,"In case the manager danced , the student advised the secretary .",The student advised the secretary .,0.78
254,"Oh, and again asserts that marriage is a fundamental human right.",Particularly after stating that marriage is a fundamental human right.,0.8
255,The actors thanked the president .,The president thanked the actors next to the doctors .,0.29
256,LOL Don't you have to take a test to drive a vehicle in the US?,Is there a test to own a firearm in the US?,0.16
257,A woman is deveining shrimp.,A man is dancing in rain.,0.0
258,The managers recognized the professors next to the judge .,The managers recognized the professors .,0.79
259,A man is walking along a path through wilderness.,A man is walking down a road.,0.5
260,the osce discussed the possible extension of the osce's mission in kosovo. ,the osce discussed kazakhstan's bid to hold the osce presidency in 2009.,0.44000000000000006
261,Morals have absolutely nothing to do with it !,and morals and honesty have everything to do with it.,0.4
262,Such a step could put the issue before the UN Security Council.,The matter could then be sent to the U.N. Security Council.,0.5599999999999999
263,A man in a black leather jacket is sleeping in a subway car.,A man in a black leather jacket falls asleep on public transportation.,0.9199999999999999
264,They also found shortness was associated with a family history of hearing loss.,Shortness was found twice as often in those with hearing loss.,0.6799999999999999
265,The lawyers mentioned the actors .,The lawyers that contacted the scientist mentioned the actors .,0.79
266,"The secretaries introduced the doctors , or the professor resigned .",The professor resigned .,0.5
267,Bush gets zero credit for the budget under him.,"And, Obama gets zero credit for the budget under him.",0.36
268,The bankers recommended the presidents .,The artists forgot that the bankers recommended the presidents .,0.55
269,The banker mentioned the authors .,The authors who the banker mentioned contacted the scientist .,0.65
270,Famous scientists slept .,Scientists slept .,0.78
271,China's Peace Ark departs for the Philippines Thursday,China sends aid team to Philippines,0.8
272,The judge slept .,Clearly the judge slept .,0.88
273,Two people paddling a red canoe are reflected in the still water.,Two people in a red canoe on a clear lake.,0.64
274,The doctors ate the ice cream .,The doctors ate .,0.66
275,"While opposition parties have welcomed the cabinet's decision on anti-retroviral treatment, some said Health Minister Manto Tshabalala-Msimang was not fit to preside over a rollout plan.","Health Minister Manto-Tshabalala Msimang is not fit to preside over an anti-retroviral treatment rollout plan, according to some opposition parties.",0.6799999999999999
276,Two goats standing in a field by a tree.,A large boat pulling a small white boat.,0.0
277,The students admired the secretary .,The president assumed that the students admired the secretary .,0.43
278,The judge admired the senator .,The senator admired the judge .,0.29
279,The scientists mentioned the actors who shouted .,The scientists mentioned the actors .,0.77
280,The actors that the presidents avoided stopped the secretaries .,The actors stopped the secretaries .,0.79
281,A women holds a small baby while sitting on a sofa.,a woman sitting on a sofa holding a baby.,0.96
282,New sex claim hits Secret Service,New rules for US Secret Service,0.36
283,A person is rinsing a steak off with water.,A man is rinsing a large steak.,0.7857999999999999
284,A child with his hands on his head.,A little boy stands with his hands on top of his head,0.8400000000000001
285,Southwest grounds flights due to computer glitch,"Southwest flights delayed, canceled after computer glitch",0.8400000000000001
286,Someone is boiling okra in a pot.,Someone pours olive oil into a bowl of tomato wedges.,0.16
287,The manager resigned .,The author behind the manager resigned .,0.26
288,The doctors by the presidents helped the students .,The doctors helped the students .,0.79
289,Albertsons and Kroger's Ralphs chain locked out their workers in response.,Kroger's Ralphs chain and Albertsons immediately locked out their grocery workers in a show of solidarity.,0.8
290,The managers saw the artists .,The managers saw the scientists and the artists .,0.68
291,Children play fight with swords.,A child and parent pet a horse.,0.0
292,The scientist stopped the actors .,The actors and the scientist stopped the student .,0.29
293,The artist ran .,The professor claimed that the artist ran .,0.43
294,The artist helped the actor next to the students .,The artist helped the actor .,0.79
295,"The drop in core wholesale prices in April reflected falling prices for cars, trucks, men's and boy's clothes and cigarettes.","That was the biggest drop since August 1993 and stemmed from falling prices for cars, trucks, men's and boys' clothes and cigarettes.",0.7
296,A brown dog jumping into the air to catch a ball.,three young woman jumping into the air to catch a ball.,0.12
297,The banker left the town .,The banker left .,0.66
298,A man is playing a keyboard.,A man plays a keyboard.,1.0
299,"Although the actor recognized the artists , the student contacted the author .",The student contacted the author .,0.78
300,The tourist and the scientists encouraged the managers .,The tourist encouraged the managers .,0.68
301,The manager performed .,The presidents by the manager performed .,0.26
302,The scientists contacted the judge .,The scientists contacted the judge who encouraged the lawyers .,0.77
303,The tourist was introduced by the secretary .,The secretary introduced the tourist .,1.0
304,A man is playing a flute.,A man is playing a guitar.,0.4
305,"The author slept , or the secretary shouted .",The secretary shouted .,0.5
306,The judge performed .,The actors near the judge performed .,0.26
307,The actor contacted the manager behind the professors .,The manager contacted the professors .,0.29
308,A man is climbing a rope.,A man is sitting on a rock.,0.05
309,"Standing with reporters and photographers about 150 yards from the prison gates was Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.","""The whole thing is a travesty,"" fumed Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.",0.3
310,"""This case was both mentally challenging and emotionally exhausting,"" said the foreman, Jim Wolfcale, a 41-year-old minister.","Jim Wolfcale, the jury foreman and a minister, said, ""This case was both mentally challenging and emotionally exhausting.""",0.8400000000000001
311,India Minister's wife died 'unnatural death' after affair rumours,Minister's wife's death 'unnatural',0.76
312,Syrian troops push into strategic rebelheld town,Syrian army pushes assault on rebel-held town,0.8
313,The artists avoided the bankers .,The artists were avoided by the bankers .,0.3
314,Israeli lightly hurt by stones in West Bank,Israeli troops kill Palestinian in West Bank raid,0.24
315,Bankers danced .,Happy bankers danced .,0.78
316,A girl in a black desktop holds up an open box of Corn Flakes and a carton of milk.,A girl wearing black shorts and boots is standing next to a blue motorcycle.,0.0
317,Ernst & Young has denied any wrongdoing and plans to fight the allegations.,"Ernst & Young has denied the SEC's claims, and called its recommendations ""irresponsible"".",0.6
318,The presidents who called the banker recommended the secretary .,The banker recommended the secretary .,0.31
319,The actor called the manager .,"Whether or not the actor called the manager , the scientists recommended the judge .",0.45
320,"Excluding the charges, analysts, on average, expected a loss of 11 cents a share.",Analysts polled by Thomson Financial First Call had been expected to see a loss of about 11 cents a share from continuing operations.,0.76
321,The lawyer investigated in the office .,The judge thanked the lawyer investigated in the office .,0.59
